university_id,university_name,country_name,openalex_id,openalex_display_name,openalex_country_code,openalex_country,openalex_ror,openalex_works_count,openalex_works_2023,openalex_works_2024,openalex_works_2025
U0247,university of sussex,United Kingdom,,,,,,,,,
U0248,vanderbilt university,United States,,,,,,,,,
U0249,university of navarra,Spain,,,,,,,,,
U0250,american university of beirut (aub),Lebanon,,,,,,,,,
U0251,taylor's university,Malaysia,,,,,,,,,
U0252,harbin institute of technology,China (Mainland),,,,,,,,,
U0253,hong kong baptist university,Hong Kong SAR,,,,,,,,,
U0254,university of göttingen,Germany,,,,,,,,,
U0255,griffith university,Australia,,,,,,,,,
U0256,bandung institute of technology (itb),Indonesia,,,,,,,,,
U0257,heriot-watt university,United Kingdom,,,,,,,,,
U0258,university of warsaw,Poland,,,,,,,,,
U0259,case western reserve university,United States,,,,,,,,,
U0260,university of lisbon,Portugal,,,,,,,,,
U0261,canadian university dubai,United Arab Emirates,,,,,,,,,
U0262,university of canterbury | te whare wananga o waitaha,New Zealand,,,,,,,,,
U0263,indian institute of technology kanpur (iitk),India,,,,,,,,,
U0264,norwegian university of science and technology,Norway,,,,,,,,,
U0265,ucsi university,Malaysia,,,,,,,,,
U0266,universitat pompeu fabra (barcelona),Spain,,,,,,,,,
U0267,university of antwerp,Belgium,,,,,,,,,
U0268,university of witwatersrand,South Africa,,,,,,,,,
U0269,tianjin university,China (Mainland),,,,,,,,,
U0270,universiti teknologi petronas (utp),Malaysia,,,,,,,,,
U0271,beijing normal university,China (Mainland),,,,,,,,,
U0272,radboud university,Netherlands,,,,,,,,,
U0273,university college cork,Ireland,,,,,,,,,
U0274,university of galway,Ireland,,,,,,,,,
U0275,dalhousie university,Canada,,,,,,,,,
U0276,university of massachusetts amherst,United States,,,,,,,,,
U0277,university of pittsburgh,United States,,,,,,,,,
U0278,university of porto,Portugal,,,,,,,,,
U0279,vrije universiteit brussel (vub),Belgium,,,,,,,,,
U0280,ulsan national institute of science and technology (unist),South Korea,,,,,,,,,
U0281,the hebrew university of jerusalem,Israel,,,,,,,,,
U0282,university of strathclyde,United Kingdom,,,,,,,,,
U0283,université paris 1 panthéon-sorbonne,France,,,,,,,,,
U0284,southern university of science and technology,China (Mainland),,,,,,,,,
U0285,middle east technical university,Turkey,,,,,,,,,
