University_Key,University_Name_QS,Country_QS,Country_Code,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student_Score,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,University_Name_THE,Country_THE,THE_Rank,THE_Overall_Score,THE_Teaching_Score,THE_Research_Score,THE_Citations_Score,THE_Industry_Income_Score,THE_International_Outlook,Total_Students,Student_Staff_Ratio,International_Students,Female_Male_Ratio,Year
clarkson university,Clarkson University,United States,US,791-800,-,1.6,2.4,16.9,39.0,64.7,8.6,Clarkson University,United States,801.0,32.7–36.9,29.9,18.0,41.2,67.4,63.3,"3,871",15.5,8%,34 : 66,2024
diponegoro university,Diponegoro University,Indonesia,ID,791-800,-,17.2,33.9,15.7,1.4,22.8,2.8,Diponegoro University,Indonesia,1501.0,9.7–22.7,27.1,15.4,19.1,42.9,35.1,"35,688",18.0,2%,56:44:00,2024
plekhanov russian university of economics,Plekhanov Russian University of Economics,Russia,RU,791-800,-,12.6,14.3,49.6,2.8,6.0,21.2,Plekhanov Russian University of Economics,Russian Federation,1001.0,28.3–32.6,25.9,12.9,44.7,20.6,59.0,"12,595",9.1,15%,57:43:00,2024
university of brescia,University of Brescia,Italy,IT,791-800,-,3.9,2.1,6.8,50.4,2.6,6.9,University of Brescia,Italy,401.0,45.4–49.0,24.4,19.2,89.3,62.4,44.9,"14,615",24.2,6%,47:53:00,2024
university of engineering technology lahore,University of Engineering & Technology (UET) Lahore,Pakistan,PK,791-800,-,8.9,44.8,16.4,5.7,1.1,3.6,University of Engineering & Technology (UET) Lahore,Pakistan,1001.0,28.3–32.6,18.8,9.9,53.5,24.1,50.6,"12,720",13.4,2%,29 : 71,2024
university of patras,University of Patras,Greece,GR,791-800,-,12.1,17.7,2.7,24.0,1.5,5.1,University of Patras,Greece,801.0,32.7–36.9,19.0,17.8,56.2,68.4,35.1,"31,172",29.4,5%,51:49:00,2024
auburn university,Auburn University,United States,US,801-850,-,7.2,8.5,7.4,19.0,23.9,7.8,Auburn University,United States,501.0,41.9–45.3,36.0,25.7,59.6,69.3,57.7,"27,670",18.2,8%,50:50:00,2024
australian catholic university,Australian Catholic University,Australia,AU,801-850,-,8.3,10.5,4.7,13.5,70.2,43.2,Australian Catholic University,Australia,401.0,45.4–49.0,16.8,25.7,97.0,21.9,80.7,"23,843",38.4,14%,76:24:00,2024
bangladesh university of engineering and technology,Bangladesh University of Engineering and Technology,Bangladesh,BD,801-850,-,15.6,34.8,16.9,12.0,,1.0,Bangladesh University of Engineering and Technology,Bangladesh,1001.0,28.3–32.6,21.7,15.8,50.7,35.2,29.8,"6,237",13.2,0%,0.970833333,2024
charles sturt university,Charles Sturt University ,Australia,AU,801-850,-,5.0,6.0,7.0,8.6,31.7,74.0,Charles Sturt University,Australia,801.0,32.7–36.9,18.5,17.9,55.1,58.0,66.3,"21,133",24.6,13%,63:37:00,2024
clark university,Clark University,United States,US,801-850,-,3.0,5.3,23.4,18.3,14.2,72.6,Clark University,United States,601.0,37.0–41.8,26.6,20.8,66.8,54.0,70.5,"3,217",12.2,27%,59:41:00,2024
de montfort university,De Montfort University,United Kingdom,UK,801-850,-,5.5,4.8,5.8,7.6,75.3,97.5,De Montfort University,United Kingdom,601.0,37.0–41.8,17.8,15.1,71.0,45.0,93.9,"23,125",18.5,37%,56:44:00,2024
edinburgh napier university,Edinburgh Napier University,United Kingdom,UK,801-850,-,4.9,4.2,4.1,10.4,73.8,87.9,Edinburgh Napier University,United Kingdom,501.0,41.9–45.3,18.1,18.4,77.9,47.7,93.7,"12,415",22.4,34%,52:48:00,2024
immanuel kant baltic federal university,Immanuel Kant Baltic Federal University,Russia,RU,801-850,-,8.1,2.3,75.5,1.8,17.9,32.0,Immanuel Kant Baltic Federal University,Russian Federation,1201.0,22.8–28.2,35.9,18.8,16.9,34.4,62.4,"6,857",17.1,19%,59:41:00,2024
ivane javakhishvili tbilisi state university,Ivane Javakhishvili Tbilisi State University,Georgia,GE,801-850,-,9.7,2.6,76.0,1.2,1.9,3.5,Ivane Javakhishvili Tbilisi State University,Georgia,1501.0,9.7–22.7,15.9,11.3,22.2,18.0,46.7,"23,278",30.6,3%,61:39:00,2024
